,date,realtors,revenue
1,2023-01-01,33,1603
2,2023-02-01,34,2991
3,2023-03-01,36,4617
4,2023-04-01,37,4692
5,2023-05-01,42,5420
6,2023-06-01,48,7333
7,2023-07-01,51,5309
8,2023-08-01,52,8089
9,2023-09-01,55,5683
10,2023-10-01,55,2141
11,2023-11-01,60,5802
12,2023-12-01,64,5884
13,2024-01-01,64,5841
14,2024-02-01,69,4779
15,2024-03-01,70,4767
16,2024-04-01,72,7007
17,2024-05-01,75,3423
18,2024-06-01,79,6859
19,2024-07-01,83,3746
20,2024-08-01,84,2230
21,2024-09-01,84,5193
22,2024-10-01,85,5713
23,2024-11-01,87,3392
24,2024-12-01,87,1095
25,2025-01-01,88,2370
26,2025-02-01,90,4813
27,2025-03-01,95,8382
28,2025-04-01,97,10733
29,2025-05-01,103,9742
30,2025-06-01,107,12126
31,2025-07-01,111,10609
32,2025-08-01,117,9177
33,2025-09-01,119,4720
34,2025-10-01,122,7357
35,2025-11-01,123,4022
36,2025-12-01,127,6392
